id;complaint_id;coded_month;coded_month_as_int;event_occurred;new_crimeflag;crime_unfounded_flag;administrative_adjustment_flag;count;cleanup_flag;crime_code;district_code;event_description;ileads_address_number;ileads_street_name;neighborhood_code;event_location_name;event_location_comment;cad_street_number;cad_street_name;x_coordinates;y_coordinates;crime_category_shortened;new_date_field
1;Rustic Granite Bacon Missouri;Multi-layered Berkshire JSON;56442;PNG Legacy;American Samoa Administrator;Practical payment 6th generation;Chicken Flat;3455;Avon Monaco;1595;411;Enterprise-wide Automotive Refined Metal Pants;Norway back up Human;GB Gold;21369;optimal;monitor Berkshire;Music;Refined Metal Fish Granite;Organized Avenue;bi-directional digital;63294;2020-09-22
2;cross-media yellow;Handcrafted Idaho;56236;calculating;ivory;Tasty Chips;Creative Fresh;18071;Technician Future;83221;5197;Belarussian Ruble Toys Solutions;silver;Iowa convergence Kip;10968;next-generation Turkmenistan;robust application Savings Account;lime Cheese Fresh;Brunei Darussalam;Producer pixel bypass;District;95195;2020-09-21
3;Drives Nigeria;integrated Ohio productivity;59148;protocol Licensed Fresh Chair;Egyptian Pound generate lavender;Bond Markets Units European Composite Unit (EURCO);protocol connecting;29265;pixel;46235;69657;alarm invoice Communications;HTTP;1080p Iowa parsing;94191;XML;heuristic;time-frame indexing Tactics;Small Wooden Fish firewall;deposit Facilitator Frozen;Markets system engine;38157;2020-09-21
4;plug-and-play;vortals;88023;application Communications;Maryland;Lead;Progressive;25540;Lead;10543;42867;plug-and-play Metal;mesh Industrial;Games;10324;internet solution Books Consultant;indexing Industrial;AGP Architect;Gambia Falkland Islands Pound Representative;executive Wisconsin;Car Savings Account Macao;42606;2020-09-21
5;programming solid state Mission;Grocery;76488;Alabama;Investment Account Illinois Buckinghamshire;Incredible Concrete Car proactive;copy;16531;hacking Lead;6266;68796;calculating;program applications Lead;gold Motorway Berkshire;3035;Michigan;Quality;Ghana Grocery olive;Direct invoice;even-keeled Frozen;panel Mayotte;73333;2020-09-21
6;pixel groupware;withdrawal Place;96086;Data;workforce open-source;port system;Trinidad and Tobago Dollar blue;94533;programming back up Bedfordshire;45708;47401;alarm e-tailers;Burgs;partnerships Upgradable;43642;systematic Estate tertiary;mission-critical Producer;Street District;Health Quality-focused;Granite;Jewelery;15541;2020-09-22
7;Parkways Investor Grenada;Ergonomic back-end Centralized;55557;Optimization compress copying;e-markets;bandwidth Tanzania Toys;functionalities;10422;Bolivar Fuerte Specialist Reverse-engineered;37877;93953;parse reintermediate;Investment Account;virtual Architect CSS;96168;wireless hard drive;pixel synergies;Aruban Guilder deposit Mandatory;Frozen Colorado;Streets;Refined Granite Car;13232;2020-09-21
8;Marketing Flat;USB synthesizing;74151;Parkway Granite payment;Cambridgeshire array Designer;Port Maryland protocol;Usability;77237;Fresh Handcrafted;62035;89324;XML Baby;North Carolina;Investment Account;98406;Credit Card Account;magenta Ergonomic;Indian Rupee Ngultrum;Sleek Fresh Shoes;Western Sahara portals;array Pizza azure;44635;2020-09-21
9;intermediate Home application;Boliviano Mvdol Pizza;73707;Square;Minnesota Music intangible;Malta HTTP;human-resource Awesome Granite Shoes;62755;e-markets invoice Fantastic;6272;24511;Fantastic composite microchip;invoice;Cambridgeshire;42237;Health Handcrafted Concrete Sausages;Fresh;Rubber Intelligent Granite Cheese;Hong Kong Dollar transmitting;Intelligent Handcrafted Granite Gloves;Flats;36614;2020-09-21
10;Synchronised cross-media;zero tolerance;30588;Kids Eritrea Bacon;responsive silver Practical Concrete Pizza;generate;compress USB override;15086;Concrete neutral Officer;75010;21262;Progressive deploy;Shoes interface;lime;98217;Practical Rubber Mouse brand Guernsey;Agent Fully-configurable Pants;Data;De-engineered;RSS Fantastic Rubber Tuna Louisiana;transmitting;8387;2020-09-22
